category_id_1,category_id_2,is_complementary,relation_type,scenario
24988,25026,1,material,electrical
24988,25007,1,material,electrical
24988,28723,1,material,electrical
24997,25026,1,material,electrical
24997,28723,1,material,electrical
25047,25026,1,material,electrical
25047,25007,1,material,electrical
25047,28723,1,material,electrical
28723,25026,1,material,electrical
28723,25007,1,material,electrical
28723,30194,1,fastener,electrical
30194,25026,1,material,electrical
30194,25007,1,material,electrical
30194,28723,1,material,electrical
25185,25185,0,same,none
25380,25380,0,same,none
25252,25252,0,same,none
29165,29165,0,same,none
25229,25229,0,same,none
25165,25165,0,same,none
25178,25178,0,same,none
25179,25179,0,same,none
30462,30462,0,same,none
27647,27647,0,same,none
25340,25340,0,same,none
25357,25357,0,same,none
25358,25358,0,same,none
23705,23705,0,same,none
30226,30226,0,same,none
30808,30808,0,same,none
23708,23708,0,same,none
25186,25186,0,same,none
25191,25191,0,same,none
25201,25201,0,same,none
28500,28500,0,same,none
34844,34844,0,same,none
25342,25342,0,same,none
25197,25197,0,same,none
25026,25026,0,same,none
25007,25007,0,same,none
24994,24994,0,same,none
24988,24988,0,same,none
24997,24997,0,same,none
25047,25047,0,same,none
28723,28723,0,same,none
30194,30194,0,same,none
30229,30229,0,same,none
30227,30227,0,same,none
25185,25026,0,unrelated,none
25185,24994,0,unrelated,none
25185,24988,0,unrelated,none
25185,25047,0,unrelated,none
25185,28723,0,unrelated,none
25380,25026,0,unrelated,none
25380,24994,0,unrelated,none
25380,24988,0,unrelated,none
30808,25026,0,unrelated,none
30808,24994,0,unrelated,none
30808,24988,0,unrelated,none
29165,24994,0,unrelated,none
29165,24988,0,unrelated,none
23708,25026,0,unrelated,none

# Негативные примеры: несвязанные (floor vs tiling)
25185,27647,0,unrelated,none
25185,25340,0,unrelated,none
25185,25357,0,unrelated,none
25185,25358,0,unrelated,none
25380,27647,0,unrelated,none
25380,25340,0,unrelated,none
30808,27647,0,unrelated,none
30808,25340,0,unrelated,none
23708,27647,0,unrelated,none
25178,25026,0,unrelated,none
25178,24994,0,unrelated,none
25178,24988,0,unrelated,none
25178,25047,0,unrelated,none
25179,25026,0,unrelated,none
25179,24994,0,unrelated,none
30462,25026,0,unrelated,none
30462,24988,0,unrelated,none
23705,25026,0,unrelated,none
30226,25026,0,unrelated,none
30226,24994,0,unrelated,none
25178,27647,0,unrelated,none
25178,25340,0,unrelated,none
25178,25357,0,unrelated,none
25179,27647,0,unrelated,none
25179,25340,0,unrelated,none
30462,27647,0,unrelated,none
30462,25340,0,unrelated,none
23705,27647,0,unrelated,none
30226,27647,0,unrelated,none
30226,25340,0,unrelated,none
25229,25026,0,unrelated,none
25229,24994,0,unrelated,none
25229,24988,0,unrelated,none
25165,25026,0,unrelated,none
25165,24994,0,unrelated,none
25165,24988,0,unrelated,none
25201,25026,0,unrelated,none
25201,24994,0,unrelated,none
25229,27647,0,unrelated,none
25229,25340,0,unrelated,none
25229,25357,0,unrelated,none
25165,27647,0,unrelated,none
25165,25340,0,unrelated,none
25165,25357,0,unrelated,none
25201,27647,0,unrelated,none
25201,25340,0,unrelated,none
27647,25026,0,unrelated,none
27647,24994,0,unrelated,none
27647,24988,0,unrelated,none
27647,25047,0,unrelated,none
25340,25026,0,unrelated,none
25340,24994,0,unrelated,none
25340,24988,0,unrelated,none
25357,25026,0,unrelated,none
25357,24994,0,unrelated,none
25358,25026,0,unrelated,none
25358,24994,0,unrelated,none
25026,25178,0,unrelated,none
25026,25185,0,unrelated,none
25026,25380,0,unrelated,none
24994,25185,0,unrelated,none
24994,25380,0,unrelated,none
24988,25185,0,unrelated,none
25047,25185,0,unrelated,none
25178,25179,0,same_function,walls
25179,30462,0,same_function,walls
27647,25340,0,same_function,tiling
25229,25165,0,same_function,partitions
24994,24988,0,same_function,electrical
